Cycle,RFU,Gene,Group,Replicate
10,-1.34918938577493,Ins1,IL10-KO,4
10,-0.890339126142862,Ins2,IL10-KO,1
10,0.32116510870901,Ins2,IL10-KO,2
10,1.21915115421416,Ins2,IL10-KO,3
10,4.61707292673691,Ins2,IL10-KO,4
10,0.777330801523476,Ins1,DSS-IL10-KO,1
10,-2.82579702938483,Ins1,DSS-IL10-KO,2
10,3.82985425241259,Ins1,DSS-IL10-KO,3
10,4.78980306155518,Ins1,DSS-IL10-KO,4
10,-0.679982265634862,Ins2,DSS-IL10-KO,1
10,-0.246939222337915,Ins2,DSS-IL10-KO,2
10,-1.61510844379518,Ins2,DSS-IL10-KO,3
10,1.94801994718819,Ins2,DSS-IL10-KO,4
11,-1.58612047385441,Ins1,IL10-KO,1
11,-0.934238141077003,Ins1,IL10-KO,2
11,-2.5384594678294,Ins1,IL10-KO,3
11,7.28560444263212,Ins1,IL10-KO,4
11,1.77979367253874,Ins2,IL10-KO,1
11,2.06023406182794,Ins2,IL10-KO,2
11,1.19492062216932,Ins2,IL10-KO,3
11,-2.39517178575534,Ins2,IL10-KO,4
11,-3.27650648324789,Ins1,DSS-IL10-KO,1
11,1.56246815061422,Ins1,DSS-IL10-KO,2
11,-1.17833938100557,Ins1,DSS-IL10-KO,3
11,1.67415335868964,Ins1,DSS-IL10-KO,4
11,-0.380470594820054,Ins2,DSS-IL10-KO,1
11,1.82481981111278,Ins2,DSS-IL10-KO,2
11,-0.601935856297587,Ins2,DSS-IL10-KO,3
11,6.27821865392525,Ins2,DSS-IL10-KO,4
12,-2.06097919597141,Ins1,IL10-KO,1
12,1.53211883965878,Ins1,IL10-KO,2
12,-5.64808122277009,Ins1,IL10-KO,3
12,2.70960995403857,Ins1,IL10-KO,4
12,0.34863040840537,Ins2,IL10-KO,1
12,-2.22263092098547,Ins2,IL10-KO,2
12,-0.209905587021694,Ins2,IL10-KO,3
12,1.66198499018992,Ins2,IL10-KO,4
12,3.35683273347649,Ins1,DSS-IL10-KO,1
12,6.66103273200042,Ins1,DSS-IL10-KO,2
12,-0.217773964995558,Ins1,DSS-IL10-KO,3
12,1.34579461037265,Ins1,DSS-IL10-KO,4
12,2.83829356081515,Ins2,DSS-IL10-KO,1
12,4.331003032019,Ins2,DSS-IL10-KO,2
12,-3.0975740136314,Ins2,DSS-IL10-KO,3
12,9.108787992624,Ins2,DSS-IL10-KO,4
13,8.2219070083238,Ins1,IL10-KO,1
13,0.834054264605584,Ins1,IL10-KO,2
13,-1.5352170213846,Ins1,IL10-KO,3
13,-0.284335538541654,Ins1,IL10-KO,4
13,-0.144761271340485,Ins2,IL10-KO,1
13,-1.74083473723749,Ins2,IL10-KO,2
13,-3.51670401970705,Ins2,IL10-KO,3
13,-5.56937645279868,Ins2,IL10-KO,4
13,2.79128181698479,Ins1,DSS-IL10-KO,1
13,5.360783226884,Ins1,DSS-IL10-KO,2
13,-3.81471439034476,Ins1,DSS-IL10-KO,3
13,2.82243691228905,Ins1,DSS-IL10-KO,4
13,-4.5748608591025,Ins2,DSS-IL10-KO,1
13,1.39863821506424,Ins2,DSS-IL10-KO,2
13,-0.330501859490596,Ins2,DSS-IL10-KO,3
13,4.37269154827254,Ins2,DSS-IL10-KO,4
14,10.8372577895038,Ins1,IL10-KO,1
14,2.9859355299559,Ins1,IL10-KO,2
14,0.759424490224774,Ins1,IL10-KO,3
14,-1.98090612570195,Ins1,IL10-KO,4
14,2.39454960442708,Ins2,IL10-KO,1
14,2.32614591792026,Ins2,IL10-KO,2
14,2.0201563429855,Ins2,IL10-KO,3
14,1.94555355789498,Ins2,IL10-KO,4
14,2.3671733093729,Ins1,DSS-IL10-KO,1
14,-0.740384418221311,Ins1,DSS-IL10-KO,2
14,7.82248909330474,Ins1,DSS-IL10-KO,3
14,2.11374121509471,Ins1,DSS-IL10-KO,4
14,2.89124139613659,Ins2,DSS-IL10-KO,1
14,0.277389238008254,Ins2,DSS-IL10-KO,2
14,3.57622866390921,Ins2,DSS-IL10-KO,3
14,2.78725925294384,Ins2,DSS-IL10-KO,4
15,6.5961053186702,Ins1,IL10-KO,1
15,2.76330061211911,Ins1,IL10-KO,2
15,4.16494618830347,Ins1,IL10-KO,3
15,1.90205768763508,Ins1,IL10-KO,4
15,1.62744701310703,Ins2,IL10-KO,1
15,2.90180421586138,Ins2,IL10-KO,2
15,-0.851013479442372,Ins2,IL10-KO,3
15,2.23660948369252,Ins2,IL10-KO,4
15,0.97550849301706,Ins1,DSS-IL10-KO,1
15,4.40477650610865,Ins1,DSS-IL10-KO,2
15,6.9753923395333,Ins1,DSS-IL10-KO,3
15,5.28784069012818,Ins1,DSS-IL10-KO,4
15,5.27467163092342,Ins2,DSS-IL10-KO,1
15,0.226608760674935,Ins2,DSS-IL10-KO,2
15,0.95536118805876,Ins2,DSS-IL10-KO,3
15,-1.47328618515849,Ins2,DSS-IL10-KO,4
16,6.86173712481923,Ins1,IL10-KO,1
16,4.47260291376642,Ins1,IL10-KO,2
16,1.52006928374021,Ins1,IL10-KO,3
16,-2.58995863086011,Ins1,IL10-KO,4
16,-1.42801073023611,Ins2,IL10-KO,1
16,-1.78354357502531,Ins2,IL10-KO,2
16,4.663955247187,Ins2,IL10-KO,3
16,1.80272190592359,Ins2,IL10-KO,4
16,2.61852395988808,Ins1,DSS-IL10-KO,1
