Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,Group,Sig_raw
Liver,Spleen,Liver_Glut1,Spleen_Insr,Glut1,Insr,4,-0.08486763407050874,0.9151323659294912,DSS-IL10-KO,False
Liver,Spleen,Liver_Glut1,Spleen_Mafa,Glut1,Mafa,4,-0.4379178492114099,0.56208215078859,DSS-IL10-KO,False
Liver,Spleen,Liver_Glut1,Spleen_Tcf19,Glut1,Tcf19,4,0.11117826760175986,0.8888217323982401,DSS-IL10-KO,False
Liver,Spleen,Liver_Glut1,Spleen_Zfand6,Glut1,Zfand6,4,0.2162258748212188,0.7837741251787813,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Glut1,Tbc1d4,Glut1,4,0.5662183445340023,0.4337816554659977,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Ins1,Tbc1d4,Ins1,3,0.5661571731674189,0.6168590430935691,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Ins2,Tbc1d4,Ins2,4,-0.5204040558426414,0.47959594415735873,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Insr,Tbc1d4,Insr,3,-0.9973135898788249,0.04667437924294635,DSS-IL10-KO,True
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Mafa,Tbc1d4,Mafa,4,0.6474656610424085,0.35253433895759145,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Srr,Tbc1d4,Srr,4,-0.04711732522562104,0.952882674774379,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Tbc1d4,Tbc1d4,Tbc1d4,4,0.9653168367254343,0.034683163274565665,DSS-IL10-KO,True
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Zfand6,Tbc1d4,Zfand6,4,0.7591844921450557,0.24081550785494432,DSS-IL10-KO,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Glut1,Tbc1d4,Glut1,4,0.09056589267268872,0.9094341073273113,DSS-IL10-KO,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Insr,Tbc1d4,Insr,4,0.3122271788797175,0.6877728211202825,DSS-IL10-KO,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Mafa,Tbc1d4,Mafa,4,-0.12412810365880991,0.87587189634119,DSS-IL10-KO,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Tcf19,Tbc1d4,Tcf19,4,0.3365451342082181,0.663454865791782,DSS-IL10-KO,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Zfand6,Tbc1d4,Zfand6,4,0.4131329483566242,0.5868670516433758,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Glut1,Tcf19,Glut1,4,0.7982743279707738,0.2017256720292262,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Ins1,Tcf19,Ins1,3,0.47135476042928187,0.6875303005101394,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Ins2,Tcf19,Ins2,4,-0.7352876006379432,0.2647123993620568,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Insr,Tcf19,Insr,3,-0.999289657451936,0.023996878173621807,DSS-IL10-KO,True
Liver,Pancreas,Liver_Tcf19,Pancreas_Mafa,Tcf19,Mafa,4,-0.00676095581052405,0.9932390441894761,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Srr,Tcf19,Srr,4,-0.5371049261208845,0.46289507387911555,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Tbc1d4,Tcf19,Tbc1d4,4,0.8991734655244045,0.10082653447559542,DSS-IL10-KO,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Zfand6,Tcf19,Zfand6,4,0.1481094850062445,0.8518905149937555,DSS-IL10-KO,False
Liver,Spleen,Liver_Tcf19,Spleen_Glut1,Tcf19,Glut1,4,-0.5855958900714303,0.4144041099285696,DSS-IL10-KO,False
Liver,Spleen,Liver_Tcf19,Spleen_Insr,Tcf19,Insr,4,-0.3751507144598097,0.6248492855401904,DSS-IL10-KO,False
Liver,Spleen,Liver_Tcf19,Spleen_Mafa,Tcf19,Mafa,4,-0.734139538708802,0.2658604612911981,DSS-IL10-KO,False
Liver,Spleen,Liver_Tcf19,Spleen_Tcf19,Tcf19,Tcf19,4,-0.2606977992003522,0.7393022007996479,DSS-IL10-KO,False
Liver,Spleen,Liver_Tcf19,Spleen_Zfand6,Tcf19,Zfand6,4,-0.15457624962650285,0.8454237503734972,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Glut1,Zfand6,Glut1,4,0.4563542549860071,0.5436457450139929,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Ins1,Zfand6,Ins1,3,0.2166871416490151,0.8609496995469798,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Ins2,Zfand6,Ins2,4,-0.8342854861549596,0.16571451384504043,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Insr,Zfand6,Insr,3,-0.9523028263997854,0.19741627721046218,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Mafa,Zfand6,Mafa,4,0.42819304136790215,0.5718069586320977,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Srr,Zfand6,Srr,4,-0.4577849057137304,0.5422150942862696,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Tbc1d4,Zfand6,Tbc1d4,4,0.9358610094947365,0.0641389905052634,DSS-IL10-KO,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Zfand6,Zfand6,Zfand6,4,0.4938767091760212,0.5061232908239788,DSS-IL10-KO,False
Liver,Spleen,Liver_Zfand6,Spleen_Glut1,Zfand6,Glut1,4,-0.17158293455321405,0.828417065446786,DSS-IL10-KO,False
