"Organ_Pair","Organ1","Organ2","Gene_Organ1","Gene_Organ2","Correlation","P_value","N","Gene1","Gene2","Group","Analysis_Note","Significance","Significant"
"Colon_vs_Spleen","Colon","Spleen","Colon_Zfand6","Spleen_Insr",0.726431497514994,0.00745750633451334,12,"Zfand6","Insr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Glp1r","Liver_Ghrhr",0.849038047392848,0.00765647079421663,8,"Glp1r","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Tbc1d4","Colon_Tbc1d4",-0.750658728425685,0.00776778576573375,11,"Tbc1d4","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Spleen","Kidney","Spleen","Kidney_Glp1r","Spleen_Srr",0.723356818251171,0.00784118331013387,12,"Glp1r","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Zfand6","Spleen_Srr",0.722229656828758,0.00798547348489828,12,"Zfand6","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Glut1",-0.719836461206486,0.00829840988944547,12,"Mafa","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Liver","Pancreas","Liver","Pancreas_Ins2","Liver_Srr",0.715533830621489,0.00888397271011286,12,"Ins2","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Zfand6","Colon_Insr",-0.714564909505685,0.0090199841578229,12,"Zfand6","Insr","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Ghrhr","Spleen_Ins2",0.921175961631916,0.0090749676354653,6,"Ghrhr","Ins2","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Spleen","Kidney","Spleen","Kidney_Glp1r","Spleen_Glut1",0.711485631848348,0.00946256607682521,12,"Glp1r","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Pancreas_vs_Spleen","Pancreas","Spleen","Pancreas_Ins1","Spleen_Tbc1d4",-0.917258034386714,0.00998611392782327,6,"Ins1","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.01",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Mafa","Colon_Ins2",-0.91626329994602,0.0102241784444663,6,"Mafa","Ins2","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Ghrhr","Spleen_Srr",0.706303091136533,0.0102437372322129,12,"Ghrhr","Srr","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Pancreas_vs_Spleen","Pancreas","Spleen","Pancreas_Glp1r","Spleen_Glp1r",-0.830570367008374,0.0106665369892931,8,"Glp1r","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Ghrhr","Spleen_Mafa",0.702673775738087,0.010818671322673,12,"Ghrhr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Insr","Spleen_Zfand6",0.702347610443918,0.0108714894880389,12,"Insr","Zfand6","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Ins2","Spleen_Tbc1d4",-0.729215991717656,0.010883747911956,11,"Ins2","Tbc1d4","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Ins2","Spleen_Glut1",-0.728935607422818,0.0109296774678283,11,"Ins2","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Insr","Colon_Glut1",-0.700152981880833,0.0112318780446551,12,"Insr","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Spleen","Kidney","Spleen","Kidney_Glut1","Spleen_Tcf19",0.698793986828954,0.0114594452631961,12,"Glut1","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Glut4","Colon_Ghrhr",0.954282221096472,0.0116536155024614,5,"Glut4","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Insr","Spleen_Tcf19",0.693727618990422,0.0123380725224135,12,"Insr","Tcf19","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Insr","Colon_Mafa",-0.692142570128051,0.0126229304977447,12,"Insr","Mafa","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Zfand6","Colon_Glut1",-0.69031290001362,0.0129577718196896,12,"Zfand6","Glut1","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Colon_vs_Spleen","Colon","Spleen","Colon_Tcf19","Spleen_Ghrhr",0.688415369469653,0.0133119266992613,12,"Tcf19","Ghrhr","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Colon","Kidney","Colon","Kidney_Zfand6","Colon_Zfand6",-0.68784017379238,0.013420680556546,12,"Zfand6","Zfand6","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Liver_vs_Spleen","Liver","Spleen","Liver_Ins2","Spleen_Glp1r",-0.71451657560559,0.0134866721043938,11,"Ins2","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Pancreas_vs_Colon","Pancreas","Colon","Pancreas_Zfand6","Colon_Insr",-0.685382895080978,0.0138926941377712,12,"Zfand6","Insr","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
"Kidney_vs_Spleen","Kidney","Spleen","Kidney_Srr","Spleen_Glp1r",-0.684082695424773,0.014147348966326,12,"Srr","Glp1r","All_Groups","Metabolic-immune axis (n=12)","p<0.05",TRUE
