Organ1,Organ2,Col1,Col2,Gene1,Gene2,N,Correlation,P_value,rank,BH_threshold,p_adj_BH,Sig_raw,Sig_BH
Liver,Spleen,Liver_Ghrhr,Spleen_Tcf19,Ghrhr,Tcf19,12,0.5588656210987695,0.0589052870912376,51,0.008885017421602788,0.31419622376059536,False,False
Pancreas,Spleen,Pancreas_Ins2,Spleen_Glut1,Ins2,Glut1,12,-0.5574430292914587,0.05969180013183253,52,0.009059233449477353,0.31419622376059536,False,False
Liver,Spleen,Liver_Zfand6,Spleen_Glut1,Zfand6,Glut1,12,-0.555890649076723,0.06055836904316111,53,0.009233449477351918,0.31419622376059536,False,False
Kidney,Pancreas,Kidney_Zfand6,Pancreas_Ins1,Zfand6,Ins1,6,0.7905486120881844,0.061210521812276174,54,0.009407665505226481,0.31419622376059536,False,False
Liver,Pancreas,Liver_Zfand6,Pancreas_Srr,Zfand6,Srr,12,-0.5524105279186807,0.06253271986843334,55,0.009581881533101046,0.31419622376059536,False,False
Colon,Spleen,Colon_Tcf19,Spleen_Insr,Tcf19,Insr,12,0.5502683417135417,0.06376997218237128,56,0.009756097560975611,0.31419622376059536,False,False
Liver,Spleen,Liver_Tbc1d4,Spleen_Glut1,Tbc1d4,Glut1,12,-0.5502674374427501,0.06377049800791722,57,0.009930313588850175,0.31419622376059536,False,False
Kidney,Spleen,Kidney_Zfand6,Spleen_Mafa,Zfand6,Mafa,12,-0.5496115434990575,0.06415268592503229,58,0.01010452961672474,0.31419622376059536,False,False
Colon,Spleen,Colon_Glp1r,Spleen_Mafa,Glp1r,Mafa,12,0.5488628857401547,0.06459086133057536,59,0.010278745644599303,0.31419622376059536,False,False
Liver,Pancreas,Liver_Tcf19,Pancreas_Srr,Tcf19,Srr,12,-0.5425988468819668,0.06833848485354037,60,0.010452961672473868,0.3268857525494348,False,False
Kidney,Pancreas,Kidney_Insr,Pancreas_Zfand6,Insr,Zfand6,12,0.5377531581569592,0.07133841472366112,61,0.010627177700348434,0.3350261258642786,False,False
Colon,Kidney,Colon_Insr,Kidney_Insr,Insr,Insr,12,-0.5329204937781541,0.07441920112495708,62,0.010801393728222997,0.3350261258642786,False,False
Colon,Pancreas,Colon_Mafa,Pancreas_Mafa,Mafa,Mafa,12,0.5325264190783069,0.07467437153946863,63,0.010975609756097562,0.3350261258642786,False,False
Colon,Pancreas,Colon_Zfand6,Pancreas_Tbc1d4,Zfand6,Tbc1d4,12,-0.530898100744684,0.07573509099116285,64,0.011149825783972125,0.3350261258642786,False,False
Liver,Pancreas,Liver_Ghrhr,Pancreas_Srr,Ghrhr,Srr,12,-0.5306814458262963,0.07587699714696206,65,0.01132404181184669,0.3350261258642786,False,False
Colon,Pancreas,Colon_Insr,Pancreas_Tbc1d4,Insr,Tbc1d4,12,-0.5280689175645203,0.07760251267617886,66,0.011498257839721256,0.33745335057671716,False,False
Liver,Spleen,Liver_Glut1,Spleen_Glut1,Glut1,Glut1,12,-0.514502206687277,0.0869947606386873,67,0.011672473867595819,0.3692571163315764,False,False
Kidney,Pancreas,Kidney_Insr,Pancreas_Ins1,Insr,Ins1,6,0.7474087649540644,0.0876455431109188,68,0.011846689895470384,0.3692571163315764,False,False
Kidney,Liver,Kidney_Insr,Liver_Tcf19,Insr,Tcf19,12,0.5120427856218747,0.08877610113895042,69,0.012020905923344948,0.3692571163315764,False,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Mafa,Zfand6,Mafa,12,-0.5066435937950808,0.09277277714806474,70,0.012195121951219513,0.3779618945651369,False,False
Colon,Spleen,Colon_Tcf19,Spleen_Mafa,Tcf19,Mafa,12,0.503939080942801,0.0948195584791991,71,0.012369337979094078,0.3779618945651369,False,False
Pancreas,Spleen,Pancreas_Zfand6,Spleen_Tcf19,Zfand6,Tcf19,12,0.503938883842644,0.09481970874107964,72,0.012543554006968641,0.3779618945651369,False,False
Kidney,Pancreas,Kidney_Glut1,Pancreas_Insr,Glut1,Insr,11,0.5250236292135664,0.09724932135225031,73,0.012717770034843208,0.380204924044939,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Tbc1d4,Mafa,Tbc1d4,12,0.49977241578727905,0.09803193163528043,74,0.01289198606271777,0.380204924044939,False,False
Kidney,Pancreas,Kidney_Mafa,Pancreas_Zfand6,Mafa,Zfand6,12,0.4935480204103959,0.10296529181561344,75,0.013066202090592336,0.3940138500144141,False,False
Colon,Pancreas,Colon_Insr,Pancreas_Mafa,Insr,Mafa,12,0.48827691088968334,0.10727041770720872,76,0.0132404181184669,0.401289683011047,False,False
Liver,Spleen,Liver_Tcf19,Spleen_Mafa,Tcf19,Mafa,12,-0.48636258977351676,0.10886306536445498,77,0.013414634146341465,0.401289683011047,False,False
Liver,Pancreas,Liver_Tbc1d4,Pancreas_Srr,Tbc1d4,Srr,12,-0.486125611962843,0.10906130757791521,78,0.013588850174216028,0.401289683011047,False,False
Pancreas,Spleen,Pancreas_Srr,Spleen_Tcf19,Srr,Tcf19,12,-0.4804840972555292,0.11385158303117912,79,0.013763066202090593,0.41199581972734495,False,False
Colon,Pancreas,Colon_Glp1r,Pancreas_Tbc1d4,Glp1r,Tbc1d4,12,-0.47853925747687226,0.11553465437737456,80,0.013937282229965157,0.41199581972734495,False,False
Kidney,Liver,Kidney_Glut1,Liver_Tbc1d4,Glut1,Tbc1d4,12,0.4769548356085224,0.11691788882417903,81,0.014111498257839722,0.41199581972734495,False,False
Colon,Liver,Colon_Mafa,Liver_Tcf19,Mafa,Tcf19,12,-0.476049559190714,0.11771309135066998,82,0.014285714285714285,0.41199581972734495,False,False
